id,name,spouse,child,gender,father,mother,born,died,birth_place,place_of_death,position_held,instance_of,occupation,description,enwiki,url
Q2899130,Eliphaz,,Q372091,male,Q220822,,,,,,,human,,,Eliphaz,https://www.wikidata.org/wiki/Q2899130
Q470988,Ismail in Islam,,,male,Q1768161,Q1711668,,,,Mecca,,human,preacher,,Ishmael in Islam,https://www.wikidata.org/wiki/Q470988
Q2915121,Gershon,,Q3482128,male,Q215512,,,,,,,human,,,Gershon,https://www.wikidata.org/wiki/Q2915121
Q2914557,Kohath,,Q477527,male,Q215512,,,,,,,human,,,Kohath,https://www.wikidata.org/wiki/Q2914557
Q2670550,Merari,,,male,Q215512,,,,,,,human,,,Merari,https://www.wikidata.org/wiki/Q2670550
Q594805,Jochebed,Q477527,"[u'Q9077', u'Q51676', u'Q1938388']",female,,,,,,,,human,,,Jochebed,https://www.wikidata.org/wiki/Q594805
Q1814684,Perez,,Q4177234,male,Q282220,Q1030008,,,,,,human,,,Perez (son of Judah),https://www.wikidata.org/wiki/Q1814684
Q723681,Asenath,Q145746,"[u'Q1056931', u'Q203251']",female,,,,,,,,human,,,Asenath,https://www.wikidata.org/wiki/Q723681
Q1056931,Manasseh,,,male,Q145746,Q723681,,,,,,human,,,Manasseh (tribal patriarch),https://www.wikidata.org/wiki/Q1056931
Q203251,Ephraim,,,male,Q145746,Q723681,,,,,,human,,,Ephraim,https://www.wikidata.org/wiki/Q203251
Q2899037,Serah,,,female,Q1775026,,,,,,,human,,,Serah,https://www.wikidata.org/wiki/Q2899037
Q221826,Zilpah,,"[u'Q851749', u'Q1775026']",female,,,,,,,,human,,,Zilpah,https://www.wikidata.org/wiki/Q221826
Q794991,Bilhah,,"[u'Q550869', u'Q1771963']",female,,,,,,,,biblical character,,,Bilhah,https://www.wikidata.org/wiki/Q794991
Q372091,Amalek,,,male,Q2899130,,,,,,,biblical character,,,Amalek,https://www.wikidata.org/wiki/Q372091
Q1711668,Hagar in Islam,,Q470988,female,,,,,,,,human,,,Hagar in Islam,https://www.wikidata.org/wiki/Q1711668
Q3482128,Shimei,,,male,Q2915121,,,,,,,human,,,Shimei,https://www.wikidata.org/wiki/Q3482128
Q477527,Amram,Q594805,"[u'Q9077', u'Q51676', u'Q1938388']",male,Q2914557,,,,,,,fictional human,,,Amram,https://www.wikidata.org/wiki/Q477527
Q9077,Moses,Q205523,Q1514983,male,Q477527,Q594805,,,,,,"[u'prophet', u'human']",author,,Moses,https://www.wikidata.org/wiki/Q9077
Q51676,Aaron,Q2916801,"[u'Q159443', u'Q1675214', u'Q321166']",male,Q477527,Q594805,,,,,,human,,,Aaron,https://www.wikidata.org/wiki/Q51676
Q1938388,Miriam,,,female,Q477527,Q594805,,,,,,human,,,Miriam,https://www.wikidata.org/wiki/Q1938388
Q4177234,Hezron,,Q1824842,male,Q1814684,,,,,,,human,,,Hezron,https://www.wikidata.org/wiki/Q4177234
Q1030008,Tamar,,Q1814684,female,,,,,,,,human,,,Tamar (Genesis),https://www.wikidata.org/wiki/Q1030008
Q205523,Zipporah,Q9077,Q1514983,female,Q62788,,,,,,,human,,,Zipporah,https://www.wikidata.org/wiki/Q205523
Q1514983,Gershom,,Q6394968,male,Q9077,Q205523,,,,,,human,,,Gershom,https://www.wikidata.org/wiki/Q1514983
Q2916801,Elisheba,Q51676,,female,,,,,,,,human,,,Elisheba,https://www.wikidata.org/wiki/Q2916801
Q159443,Eleazar,,Q128063,male,Q51676,,,,,,,human,High Priest of Israel,,Eleazar,https://www.wikidata.org/wiki/Q159443
Q1675214,Ithamar,,,male,Q51676,,,,,,,biblical character,,,Ithamar,https://www.wikidata.org/wiki/Q1675214
Q321166,Nadab and Abihu,,,male,,,,,,,,,,,Nadab and Abihu,https://www.wikidata.org/wiki/Q321166
Q1824842,Ram,,Q2038223,male,Q4177234,,,,,,,human,,,Ram (biblical figure),https://www.wikidata.org/wiki/Q1824842
Q62788,Jethro,,Q205523,male,,,,,,,,human,,,Jethro (Bible),https://www.wikidata.org/wiki/Q62788
Q6394968,Shebuel,,,male,Q1514983,,,,,,,human,,,Shebuel,https://www.wikidata.org/wiki/Q6394968
Q128063,Phinehas,,,male,Q159443,,,,,,,"[u'fictional character', u'human']",,,Phinehas,https://www.wikidata.org/wiki/Q128063
